Name,Description,My Thoughts,Tag 1,Tag 2,Tag 3
Title IX of the Educational Amendment of 1972,No federally funded educational program can discriminate based on gender,,,,
Clean Air Act of 1972,Enforces clean air and regulates agencies pollution,,,,
Clean Water Act of 1972,Regulate agency's water pollution,,,,
Endangered Species Act of 1973,protects endangered species,,,,
Congressional Budget Impoundment and Control Act of 1974,Governs role of Congress in Budget process,,,,
Federal Election Campaign Act (FECA) of 1972,Place limits on campaign contributions,,,,
Americans with Disabilities Act of 1990,prohibits discrimination against disabled people,,,,
Motor Voter Act of 1993,require states to give voter registration opportunities,,,,
Communications Decency Act of 1996,regulate pornographic material on the internet,,,,
Welfare Reform Act of 1996,created TANF help needy families,,,,
Bi-Partisan Campaign Finance Reform Act of 2002,Stopped soft money and prevented ads that name a candidate within 30 days of a primary,,,,
Patient Protection and Affordable Care Act of 2010,"Obamacare, increased affordability and quality of health insurance",,,,
